Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.9019370460048426,0.8145161290322581,0.6352201257861635,0.7137809187279152,0.9488746192941265
Extra Trees,0.8958837772397095,0.7295597484276729,0.7295597484276729,0.7295597484276729,0.9429153347854374
Gradient Boosting,0.8753026634382567,0.8181818181818182,0.4528301886792453,0.582995951417004,0.875882813310326
Logistic Regression,0.7312348668280871,0.39464882943143814,0.7421383647798742,0.5152838427947598,0.8195430586593495
